household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
22,처치,1,3.0,15.0,705.27,13852.0,5.0,8.77,1.0,2.0,1,14.71,6.0,5.0,290.12,5.0,3.0,1,1,3.0,2.772588722239781,6.559997600643758,0.012434953989252344,1,2.0,0.17565288001701626,-1.5460819284019485,True,pair_22_367
27,대조,0,1.0,71.0,1373.81,624.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,370.09,22.0,1.0,0,1,1.0,4.276666119016055,7.226070818734502,0.0,0,3.0,0.06209418627657816,-2.714997166333628,True,pair_1451_27
42,대조,0,6.0,15.0,301.13,230.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,85.05,4.0,6.0,0,1,6.0,2.772588722239781,5.710857388328163,0.0,0,0.0,0.033027269053663065,-3.376836740214633,True,pair_503_42
46,대조,0,4.0,18.0,1317.65,464.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,198.43,4.0,4.0,0,1,4.0,2.9444389791664403,7.184363764965298,0.0,0,0.0,0.05727433506255926,-2.8009227042431375,True,pair_57_46
52,처치,1,4.0,22.0,787.37,16372.0,2.0,3.29,0.0,1.0,1,0.0,0.0,0.0,395.39,8.0,4.0,0,1,4.0,3.1354942159291497,6.669967522804199,0.004178467556549018,0,1.0,0.04865797251526975,-2.973057978104234,True,pair_52_808
57,처치,1,1.0,31.0,778.9300000000001,36810.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,23.14,3.0,1.0,0,1,1.0,3.4657359027997265,6.659204172066697,0.0,0,0.0,0.05715350257494249,-2.8031628125222845,True,pair_57_46
95,대조,0,2.0,52.0,1052.11,97722.0,4.0,14.94,0.0,0.0,0,0.0,0.0,0.0,384.86,11.0,2.0,0,1,2.0,3.970291913552122,6.959502970115847,0.01420003611789642,0,0.0,0.07527857938507032,-2.5082969012310867,True,pair_1620_95
97,처치,1,4.0,20.0,670.29,10701.0,1.0,2.79,0.0,0.0,1,0.0,0.0,0.0,213.99,9.0,4.0,0,1,4.0,3.044522437723423,6.509201234364215,0.00416237747840487,0,0.0,0.0506996068093434,-2.929807129750471,True,pair_97_1595
104,처치,1,3.0,25.0,1333.55,17452.0,6.0,11.52,0.0,0.0,1,2.5,2.0,1.0,416.32,9.0,3.0,1,1,3.0,3.258096538021482,7.196349435358886,0.008638596228112931,0,0.0,0.0733509174025258,-2.5363199305196216,True,pair_104_702
143,대조,0,2.0,95.0,1645.95,86431.0,4.0,8.84,0.0,0.0,0,4.09,1.0,1.0,858.46,34.0,2.0,1,1,2.0,4.564348191467836,7.406680371489741,0.0053707585285093715,0,0.0,0.09139741328916816,-2.296690623174662,True,pair_898_143
