household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
1,대조,0,11.0,9.0,585.19,293.0,5.0,9.93,0.0,1.0,1,3.75,3.0,2.0,186.9,6.0,11.0,1,1,11.0,2.302585092994046,6.373643969107062,0.016968847724670617,0,1.0,0.04135307173393231,-3.143376135630441,True
2,대조,0,27.0,4.0,190.86,66.0,1.0,2.99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,27.0,0,0,27.0,1.6094379124341003,5.256765939389801,0.0156659331447134,0,0.0,0.01988737046877155,-3.8975826127094484,True
3,대조,0,6.0,5.0,499.81,297.0,2.0,3.88,0.0,0.0,0,0.0,0.0,0.0,26.82,2.0,6.0,0,1,6.0,1.791759469228055,6.216226787637648,0.007762949920969969,0,0.0,0.025458034630143185,-3.6449361857766136,True
4,대조,0,14.0,10.0,222.24,64.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.97,1.0,14.0,0,1,14.0,2.3978952727983707,5.408247425920233,0.0,0,0.0,0.020905197810900982,-3.8466306464454187,True
7,대조,0,5.0,5.0,234.85,126.0,1.0,0.88,0.0,0.0,1,0.0,0.0,0.0,276.73,4.0,5.0,0,1,5.0,1.791759469228055,5.463196009730271,0.003747072599531616,0,0.0,0.023122504812243944,-3.7435548778615884,True
14,대조,0,2.0,28.0,509.54,23266.0,1.0,1.79,0.0,1.0,0,0.0,0.0,0.0,215.92,12.0,2.0,0,1,2.0,3.367295829986474,6.235468989089521,0.003512972484986458,0,1.0,0.03583908378510287,-3.292219182465918,True
17,대조,0,13.0,19.0,623.61,47318.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,304.63,9.0,13.0,0,1,13.0,2.995732273553991,6.437127454967373,0.0,0,2.0,0.03542569543507412,-3.3042494522655566,True
18,대조,0,4.0,18.0,741.47,345.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,329.53000000000003,10.0,4.0,0,1,4.0,2.9444389791664403,6.609982465820186,0.0,0,0.0,0.047324836093139575,-3.0022387555496657,True
19,대조,0,4.0,32.0,966.54,4605.0,4.0,7.64,0.0,0.0,1,1.92,1.0,1.0,468.67,21.0,4.0,1,1,4.0,3.4965075614664802,6.874756767718561,0.007904484035839179,0,0.0,0.07059680707598692,-2.5775577341891376,True
22,처치,1,3.0,15.0,705.27,13852.0,5.0,8.77,1.0,2.0,1,14.71,6.0,5.0,290.12,5.0,3.0,1,1,3.0,2.772588722239781,6.559997600643758,0.012434953989252344,1,2.0,0.17565288001701626,-1.5460819284019485,True
23,대조,0,9.0,23.0,650.1800000000001,62143.0,1.0,0.88,0.0,0.0,0,0.0,0.0,0.0,121.28,7.0,9.0,0,1,9.0,3.1780538303479458,6.478786101685978,0.0013534713463963825,0,0.0,0.040081055833061895,-3.175945048167861,True
25,대조,0,3.0,8.0,257.51,148.0,1.0,1.25,0.0,1.0,1,0.0,0.0,0.0,231.11,7.0,3.0,0,1,3.0,2.1972245773362196,5.5549343779197855,0.004854180420177857,0,1.0,0.0245455233141494,-3.6823740044435955,True
26,대조,0,7.0,10.0,251.83,132.0,1.0,1.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,7.0,2.3978952727983707,5.532717326117946,0.00496366596513521,0,0.0,0.023665882130941732,-3.719770423285526,True
27,대조,0,1.0,71.0,1373.81,624.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,370.09,22.0,1.0,0,1,1.0,4.276666119016055,7.226070818734502,0.0,0,3.0,0.06209418627657816,-2.714997166333628,True
28,대조,0,2.0,11.0,163.18,49.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,243.61,12.0,2.0,0,1,2.0,2.4849066497880004,5.10096338692012,0.0,0,0.0,0.01927618199039401,-3.9294206488190357,True
31,대조,0,40.0,2.0,73.25,33923.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,396.56,2.0,40.0,0,1,40.0,1.0986122886681098,4.307437777682809,0.0,0,0.0,0.011646094000289825,-4.441069993213039,False
