household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
2,처치,1,4,39,1621.59,676,280,840.31,0.0,0.0,0,104.49,43.0,40.0,201.86,5.0,4,1,1,4,3.6888794541139363,7.391778916993619,0.5182012715914627,0,0.0,0.4492132589593455,-0.20384995512289908,True,pair_2_1672
16,대조,0,5,92,1471.45,81181,208,516.73,0.0,2.0,1,4.99,1.0,1.0,24.05,2.0,5,1,1,5,4.532599493153256,7.294682959091843,0.3511706140201842,0,2.0,0.6588877979855383,0.6583417976550834,True,pair_538_16
23,처치,1,23,90,2639.31,167212,335,1030.56,0.0,2.0,0,119.23,50.0,45.0,215.25,9.0,23,1,1,23,4.51085950651685,7.878651613489099,0.3904656898962229,0,2.0,0.6716885484623624,0.7158320583178194,True,pair_23_1622
26,대조,0,14,87,1515.7,799,376,1008.09,0.0,1.0,0,87.1,48.0,42.0,145.55,12.0,14,1,1,14,4.477336814478207,7.324292201057351,0.6650986342943854,0,1.0,0.682779668336387,0.7665756285756585,True,pair_2354_26
31,대조,0,2,36,2551.47,189164,305,971.0500000000001,0.0,0.0,1,474.64,141.0,109.0,796.87,13.0,2,1,1,2,3.6109179126442243,7.844816796786597,0.38058452578317603,0,0.0,0.5925249956351609,0.3744134670278462,True,pair_594_31
32,처치,1,8,100,2821.69,264070,355,895.51,0.0,5.0,0,97.71000000000001,51.0,45.0,251.11,7.0,8,1,1,8,4.61512051684126,7.9454456099672175,0.3173665427456595,0,5.0,0.5545150417956309,0.218930450705673,True,pair_32_2182
37,처치,1,9,45,2068.99,59398,97,564.92,0.0,1.0,0,140.75,37.0,14.0,302.88,8.0,9,1,1,9,3.828641396489095,7.635299055329871,0.2730414356763445,0,1.0,0.41625860701681583,-0.3381513459213672,True,pair_37_604
39,대조,0,14,51,4175.06,13413,732,2137.36,0.0,4.0,1,182.22,80.0,75.0,433.4,8.0,14,1,1,14,3.9512437185814275,8.33712349727535,0.5119351578180912,0,4.0,0.6173778433406826,0.4784332582867419,True,pair_1010_39
42,처치,1,4,70,1594.33,1096,432,969.59,0.0,2.0,1,110.03,64.0,52.0,166.54,8.0,4,1,1,4,4.2626798770413155,7.374835890370529,0.6081488775849417,0,2.0,0.6603522974437999,0.6648645651505312,True,pair_42_2440
51,처치,1,3,72,2543.39,1078,340,1052.1200000000001,0.0,3.0,0,52.36,13.0,13.0,202.96,7.0,3,1,1,3,4.290459441148391,7.841646214597271,0.41366837174007925,0,3.0,0.5677500846260848,0.2726774012578831,True,pair_51_180
55,처치,1,1,111,820.25,337,127,336.89,0.0,3.0,1,58.160000000000004,16.0,16.0,117.45,15.0,1,1,1,1,4.718498871295094,6.710827569798821,0.4107162450472417,0,3.0,0.5558419769121032,0.22430363269954054,True,pair_55_1668
56,대조,0,5,158,5143.57,10465,725,2260.76,2.0,1.0,1,310.29,110.0,94.0,732.01,23.0,5,1,1,5,5.0689042022202315,8.545697068487799,0.43953129830059673,1,1.0,0.9589106564714875,3.150049100984712,True,pair_2497_56
65,처치,1,5,99,1718.01,490,173,749.09,0.0,5.0,0,113.37,28.0,27.0,255.91,18.0,5,1,1,5,4.605170185988092,7.449503822701589,0.43602190906921384,0,5.0,0.47239869357755065,-0.11051757818205986,True,pair_65_1646
83,대조,0,4,92,1021.26,42080,130,362.48,0.0,1.0,0,69.97,22.0,17.0,125.98,12.0,4,1,1,4,4.532599493153256,6.929771141539776,0.3549341010124748,0,1.0,0.5359747089913024,0.14414791801475588,True,pair_308_83
86,처치,1,19,40,3492.2400000000002,16183,370,1430.06,0.0,1.0,1,217.93,63.0,45.0,379.82,3.0,19,1,1,19,3.713572066704308,8.15858495129275,0.4094964836322818,0,1.0,0.6264850455123511,0.5171668615985091,True,pair_86_903
91,처치,1,1,133,2139.81,178279,277,856.32,0.0,1.0,0,162.63,72.0,67.0,405.34000000000003,27.0,1,1,1,1,4.897839799950911,7.668939541073971,0.4001850631598133,0,1.0,0.8134273199815569,1.472435711936026,True,pair_91_1959
92,대조,0,4,46,1192.44,10909,339,705.97,0.0,1.0,0,89.01,47.0,30.0,165.1,5.0,4,1,1,4,3.8501476017100584,7.084595172206853,0.5920381738284526,0,1.0,0.398090447746431,-0.41342795348479705,True,pair_927_92
98,대조,0,1,112,1429.81,1048,317,736.18,0.0,2.0,1,309.93,140.0,105.0,658.15,50.0,1,1,1,1,4.727387818712341,7.265995996457447,0.5148795993873312,0,2.0,0.7585716678267556,1.1448646127202051,True,pair_1847_98
108,대조,0,9,53,2435.17,69412,410,1294.95,0.0,4.0,0,49.56,30.0,21.0,128.51,5.0,9,1,1,9,3.9889840465642745,7.7981824129301245,0.531769855903284,0,4.0,0.4149243414542677,-0.3436449758552456,True,pair_1949_108
111,처치,1,17,45,1388.44,37121,292,648.28,0.0,0.0,0,18.09,9.0,9.0,22.68,1.0,17,1,1,17,3.828641396489095,7.236656067249872,0.4669125061219786,0,0.0,0.4266490117984708,-0.2955363852479416,True,pair_111_1963
