household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
2,대조,0,15.0,8.0,395.05,156.0,68.0,206.75,0.0,0.0,0,27.32,13.0,11.0,107.52,1.0,15.0,1,1,15.0,2.1972245773362196,5.981540465910289,0.5233514744968991,0,0.0,0.20748881606887518,-1.3401291781128633,True
4,대조,0,8.0,3.0,68.0,25.0,7.0,36.27,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,8.0,1.3862943611198906,4.23410650459726,0.5333823529411765,0,1.0,0.20653023242703195,-1.3459686334534935,True
6,처치,1,1.0,41.0,909.07,47214.0,136.0,490.31,0.0,2.0,0,249.08,94.0,72.0,493.46,24.0,1.0,1,1,1.0,3.7376696182833684,6.813521519629391,0.539353405128318,0,2.0,0.8148047078299996,1.4815375605917736,True
7,대조,0,26.0,6.0,534.58,214.0,95.0,307.81,0.0,2.0,1,199.38,71.0,66.0,327.01,4.0,26.0,1,1,26.0,1.9459101490553132,6.2833502718203365,0.5757978225896966,0,2.0,0.5407540970156491,0.16337883839309747,True
16,대조,0,64.0,8.0,97.49,9002.0,8.0,27.31,0.0,2.0,1,7.59,3.0,3.0,11.34,2.0,64.0,1,1,64.0,2.1972245773362196,4.589955020181611,0.280131295517489,0,2.0,0.7227412622533974,0.9581001497381058,True
17,처치,1,34.0,9.0,507.43,36786.0,48.0,314.92,0.0,3.0,1,181.76,79.0,29.0,236.28,5.0,34.0,1,1,34.0,2.302585092994046,6.231327546228959,0.6206176221350729,0,3.0,0.7605867084780709,1.1558988085685038,True
18,처치,1,8.0,22.0,1037.06,34420.0,132.0,383.55,2.0,1.0,1,261.3,104.0,81.0,549.35,12.0,8.0,1,1,8.0,3.1354942159291497,6.945108865523486,0.36984359632036723,1,1.0,0.8297726361847199,1.5840167532674698,True
20,처치,1,1.0,71.0,1419.56,60144.0,192.0,523.61,0.0,3.0,1,257.03000000000003,114.0,85.0,820.22,38.0,1.0,1,1,1.0,4.276666119016055,7.258806439050579,0.3688537293245795,0,3.0,0.9671049937658315,3.380986206304349,True
22,처치,1,2.0,22.0,864.78,109566.0,96.0,289.82,1.0,5.0,1,209.89,65.0,58.0,441.14,10.0,2.0,1,1,2.0,3.1354942159291497,6.76363083471797,0.33513726034367125,1,5.0,0.9866254826423565,4.300939310492511,False
23,처치,1,5.0,11.0,227.74,15708.0,32.0,101.02000000000001,0.0,1.0,0,61.410000000000004,26.0,21.0,171.14000000000001,11.0,5.0,1,1,5.0,2.4849066497880004,5.432585987353071,0.443576007728111,0,1.0,0.44321233237770796,-0.22813499930014283,True
25,처치,1,4.0,12.0,454.08000000000004,193.0,63.0,128.44,0.0,2.0,1,101.31,57.0,49.0,428.46000000000004,10.0,4.0,1,1,4.0,2.5649493574615367,6.120473227671516,0.28285764622973925,0,2.0,0.7605972514374796,1.1559567077064832,True
26,처치,1,5.0,17.0,474.63,201.0,80.0,313.84000000000003,0.0,0.0,0,32.66,20.0,17.0,48.6,5.0,5.0,1,1,5.0,2.8903717578961645,6.164640241044268,0.6612308535069423,0,0.0,0.3100650978218409,-0.7998149800637984,True
27,처치,1,1.0,73.0,993.72,512.0,168.0,240.77,0.0,4.0,1,157.49,204.0,120.0,612.92,41.0,1.0,1,1,1.0,4.30406509320417,6.902461290521027,0.2422915911926901,0,4.0,0.986049678057622,4.258204150451272,False
31,대조,0,1.0,10.0,689.15,46667.0,103.0,264.56,0.0,0.0,1,162.59,75.0,56.0,461.41,8.0,1.0,1,1,1.0,2.3978952727983707,6.536908965269587,0.38389320177029673,0,0.0,0.37532722118392475,-0.5094297234308941,True
32,처치,1,7.0,13.0,526.78,13377.0,71.0,206.18,0.0,4.0,0,79.36,27.0,26.0,209.34,5.0,7.0,1,1,7.0,2.6390573296152584,6.268679530209919,0.39139678803295497,0,4.0,0.8696561677118438,1.8979221012926566,True
36,처치,1,1.0,37.0,975.6,467.0,200.0,765.52,0.0,1.0,0,282.29,116.0,72.0,504.14,19.0,1.0,1,1,1.0,3.6375861597263857,6.88407715162756,0.7846658466584665,0,1.0,0.6040983100462839,0.42257102692652215,True
37,대조,0,9.0,7.0,303.69,120.0,8.0,32.36,0.0,1.0,0,30.48,21.0,9.0,37.96,2.0,9.0,1,1,9.0,2.0794415416798357,5.71929486628671,0.10655602752807139,0,1.0,0.4275551926947317,-0.2918329385652547,True
38,대조,0,35.0,4.0,55.93,20.0,8.0,28.08,0.0,1.0,0,5.98,2.0,1.0,108.93,3.0,35.0,1,1,35.0,1.6094379124341003,4.0418224429629905,0.5020561416055783,0,1.0,0.2594254133229055,-1.0489571166680394,True
39,처치,1,3.0,5.0,343.32,147.0,60.0,170.45,0.0,3.0,1,105.52,55.0,46.0,233.7,5.0,3.0,1,1,3.0,1.791759469228055,5.841571457533365,0.49647559128509844,0,3.0,0.6898703846607551,0.7995134075363981,True
41,대조,0,2.0,12.0,656.42,331.0,127.0,377.55,0.0,0.0,0,189.04,93.0,72.0,335.03,7.0,2.0,1,1,2.0,2.5649493574615367,6.488323083645357,0.5751652905152189,0,0.0,0.2544333464493131,-1.0751056363700702,True
42,처치,1,5.0,16.0,333.26,227.0,74.0,171.13,0.0,1.0,1,71.72,35.0,28.0,114.67,4.0,5.0,1,1,5.0,2.833213344056216,5.811919133260779,0.5135029706535438,0,1.0,0.6314091912702624,0.5382670236841528,True
43,대조,0,1.0,17.0,104.86,3957.0,23.0,57.59,0.0,3.0,1,9.02,7.0,6.0,20.76,5.0,1.0,1,1,1.0,2.8903717578961645,4.662117466429842,0.5492084684341026,0,3.0,0.8816679914020158,2.008321252360499,True
45,대조,0,4.0,2.0,24.22,6.0,6.0,24.22,0.0,1.0,0,4.99,1.0,1.0,9.16,1.0,4.0,1,1,4.0,1.0986122886681098,3.2276373305367736,1.0,0,1.0,0.11145481755247161,-2.0759662137730044,True
47,처치,1,6.0,16.0,531.72,149.0,63.0,261.2,0.0,1.0,0,77.75,31.0,30.0,161.82,12.0,6.0,1,1,6.0,2.833213344056216,6.277995957802367,0.4912359888663206,0,1.0,0.4973362990724045,-0.010654904510840913,True
48,대조,0,2.0,21.0,476.7,7243.0,110.0,362.41,0.0,0.0,1,110.77,39.0,35.0,124.73,5.0,2.0,1,1,2.0,3.091042453358316,6.168982920395917,0.7602475351374031,0,0.0,0.45479394257138056,-0.18131936732804915,True
49,처치,1,4.0,17.0,1310.42,53430.0,221.0,628.11,0.0,2.0,1,231.24,133.0,80.0,506.88,9.0,4.0,1,1,4.0,2.8903717578961645,7.178865798590151,0.4793196074540987,0,2.0,0.7604609695059511,1.1552084180880804,True
51,처치,1,6.0,13.0,469.24,209.0,62.0,199.74,0.0,2.0,0,129.88,60.0,42.0,257.11,4.0,6.0,1,1,6.0,2.6390573296152584,6.153243202670607,0.4256670360583071,0,2.0,0.6320181144518108,0.5408843429398489,True
