household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
6,처치,1,1.0,41.0,909.07,47214.0,136.0,490.31,0.0,2.0,0,249.08,94.0,72.0,493.46,24.0,1.0,1,1,1.0,3.7376696182833684,6.813521519629391,0.539353405128318,0,2.0,0.8148047078299996,1.4815375605917736,True,pair_6_877
7,대조,0,26.0,6.0,534.58,214.0,95.0,307.81,0.0,2.0,1,199.38,71.0,66.0,327.01,4.0,26.0,1,1,26.0,1.9459101490553132,6.2833502718203365,0.5757978225896966,0,2.0,0.5407540970156491,0.16337883839309747,True,pair_1922_7
16,대조,0,64.0,8.0,97.49,9002.0,8.0,27.31,0.0,2.0,1,7.59,3.0,3.0,11.34,2.0,64.0,1,1,64.0,2.1972245773362196,4.589955020181611,0.280131295517489,0,2.0,0.7227412622533974,0.9581001497381058,True,pair_1547_16
23,처치,1,5.0,11.0,227.74,15708.0,32.0,101.02000000000001,0.0,1.0,0,61.410000000000004,26.0,21.0,171.14000000000001,11.0,5.0,1,1,5.0,2.4849066497880004,5.432585987353071,0.443576007728111,0,1.0,0.44321233237770796,-0.22813499930014283,True,pair_23_1251
26,처치,1,5.0,17.0,474.63,201.0,80.0,313.84000000000003,0.0,0.0,0,32.66,20.0,17.0,48.6,5.0,5.0,1,1,5.0,2.8903717578961645,6.164640241044268,0.6612308535069423,0,0.0,0.3100650978218409,-0.7998149800637984,True,pair_26_1758
36,처치,1,1.0,37.0,975.6,467.0,200.0,765.52,0.0,1.0,0,282.29,116.0,72.0,504.14,19.0,1.0,1,1,1.0,3.6375861597263857,6.88407715162756,0.7846658466584665,0,1.0,0.6040983100462839,0.42257102692652215,True,pair_36_953
37,대조,0,9.0,7.0,303.69,120.0,8.0,32.36,0.0,1.0,0,30.48,21.0,9.0,37.96,2.0,9.0,1,1,9.0,2.0794415416798357,5.71929486628671,0.10655602752807139,0,1.0,0.4275551926947317,-0.2918329385652547,True,pair_1689_37
41,대조,0,2.0,12.0,656.42,331.0,127.0,377.55,0.0,0.0,0,189.04,93.0,72.0,335.03,7.0,2.0,1,1,2.0,2.5649493574615367,6.488323083645357,0.5751652905152189,0,0.0,0.2544333464493131,-1.0751056363700702,True,pair_1061_41
43,대조,0,1.0,17.0,104.86,3957.0,23.0,57.59,0.0,3.0,1,9.02,7.0,6.0,20.76,5.0,1.0,1,1,1.0,2.8903717578961645,4.662117466429842,0.5492084684341026,0,3.0,0.8816679914020158,2.008321252360499,True,pair_2443_43
47,처치,1,6.0,16.0,531.72,149.0,63.0,261.2,0.0,1.0,0,77.75,31.0,30.0,161.82,12.0,6.0,1,1,6.0,2.833213344056216,6.277995957802367,0.4912359888663206,0,1.0,0.4973362990724045,-0.010654904510840913,True,pair_47_540
48,대조,0,2.0,21.0,476.7,7243.0,110.0,362.41,0.0,0.0,1,110.77,39.0,35.0,124.73,5.0,2.0,1,1,2.0,3.091042453358316,6.168982920395917,0.7602475351374031,0,0.0,0.45479394257138056,-0.18131936732804915,True,pair_1072_48
55,처치,1,2.0,20.0,126.46000000000001,79.0,21.0,48.87,0.0,2.0,1,19.98,8.0,8.0,40.88,10.0,2.0,1,1,2.0,3.044522437723423,4.8478025898861485,0.3864463071326901,0,2.0,0.8418075464847043,1.6717390689797245,True,pair_55_2018
56,대조,0,1.0,31.0,1248.9,450.0,158.0,558.19,2.0,1.0,1,110.33,53.0,42.0,323.16,18.0,1.0,1,1,1.0,3.4657359027997265,7.130818827096176,0.4469453118744495,1,1.0,0.8602168564049201,1.8170922686838333,True,pair_2481_56
71,처치,1,11.0,9.0,249.21,56.0,19.0,49.37,0.0,0.0,1,148.55,80.0,46.0,235.71,5.0,11.0,1,1,11.0,2.302585092994046,5.52230056525969,0.19810601500742345,0,0.0,0.4296899423995312,-0.28311628922952514,True,pair_71_730
74,처치,1,3.0,20.0,402.02,258.0,118.0,258.39,0.0,2.0,1,20.490000000000002,16.0,12.0,32.63,1.0,3.0,1,1,3.0,3.044522437723423,5.998986188506828,0.6427292174518681,0,2.0,0.7779388153887721,1.253694927369964,True,pair_74_863
77,대조,0,13.0,8.0,449.57,228.0,90.0,227.11,0.0,1.0,1,172.07,82.0,64.0,360.44,6.0,13.0,1,1,13.0,2.1972245773362196,6.110513447885599,0.5051716084258292,0,1.0,0.4640952494158084,-0.1438666310727785,True,pair_2356_77
80,처치,1,6.0,14.0,471.8,13745.0,86.0,274.17,0.0,0.0,1,175.65,106.0,67.0,275.09,7.0,6.0,1,1,6.0,2.70805020110221,6.158672466091889,0.5811148791860958,0,0.0,0.4081671537400598,-0.37154745968061687,True,pair_80_1460
83,대조,0,2.0,13.0,136.54,42.0,12.0,73.33,0.0,1.0,0,12.4,5.0,6.0,94.76,10.0,2.0,1,1,2.0,2.6390573296152584,4.92391478389169,0.5370587373663396,0,1.0,0.4696227663842675,-0.12165876718906303,True,pair_580_83
86,대조,0,16.0,10.0,914.91,344.0,79.0,278.87,0.0,1.0,1,218.44,66.0,53.0,405.8,2.0,16.0,1,1,16.0,2.3978952727983707,6.819918106571852,0.30480593719600835,0,1.0,0.5549237751683535,0.22058520302115875,True,pair_356_86
