household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
2,대조,0,3.0,4.0,88.26,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,64.31,2.0,3.0,0,1,3.0,1.6094379124341003,4.491553459201124,0.0,0,0.0,0.023165670050628848,-3.7416456239197666,False
14,대조,0,3.0,39.0,532.24,45970.0,0.0,0.0,0.0,1.0,0,6.29,2.0,2.0,363.78000000000003,14.0,3.0,1,1,3.0,3.6888794541139363,6.278971604245476,0.0,0,1.0,0.06448128172733514,-2.6747261784508796,True
26,대조,0,20.0,5.0,71.11,41.0,1.0,6.38,0.0,0.0,0,3.19,1.0,1.0,259.66,6.0,20.0,1,1,20.0,1.791759469228055,4.2781927309286685,0.08972015187737309,0,0.0,0.09772352204349297,-2.2227787017404497,True
31,대조,0,36.0,2.0,396.56,123.0,1.0,3.39,0.0,0.0,1,6.49,2.0,2.0,258.74,3.0,36.0,1,1,36.0,1.0986122886681098,5.985345866099805,0.008548517248335687,0,0.0,0.11031579877934379,-2.0875194190407163,True
36,처치,1,1.0,25.0,547.59,274.0,2.0,6.99,0.0,0.0,0,17.66,5.0,5.0,403.79,11.0,1.0,1,1,1.0,3.258096538021482,6.307351350120086,0.012765024927409193,0,0.0,0.07205826420692585,-2.555493929243268,True
38,대조,0,9.0,9.0,115.87,45.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,9.0,2.302585092994046,4.761062205945065,0.0,0,1.0,0.031020655865408336,-3.441589994148306,True
41,대조,0,9.0,10.0,381.28000000000003,186.0,2.0,5.49,0.0,0.0,0,0.0,0.0,0.0,223.37,4.0,9.0,0,1,9.0,2.3978952727983707,5.946153324397979,0.014398866974402014,0,0.0,0.06579330103903584,-2.6531796936107686,True
48,대조,0,1.0,6.0,100.33,49.0,0.0,0.0,0.0,0.0,1,3.19,1.0,1.0,159.85999999999999,7.0,1.0,1,1,1.0,1.9459101490553132,4.618382517460226,0.0,0,0.0,0.0337864141521778,-3.3533261396091687,True
49,처치,1,4.0,20.0,892.04,156582.0,2.0,9.0,0.0,1.0,1,2.5,1.0,1.0,445.3,4.0,4.0,1,1,4.0,3.044522437723423,6.794631372706477,0.01008923366665172,0,1.0,0.12361523923803547,-1.9586313868900882,True
71,대조,0,2.0,15.0,602.6800000000001,199.0,1.0,3.39,0.0,0.0,1,0.0,0.0,0.0,73.86,3.0,2.0,0,1,2.0,2.772588722239781,6.403044256216001,0.005624875555850534,0,0.0,0.0909063929784153,-2.302617738391195,True
72,대조,0,10.0,15.0,1079.25,526.0,11.0,30.1,0.0,1.0,0,10.0,4.0,4.0,502.57,5.0,10.0,1,1,10.0,2.772588722239781,6.984947774812043,0.027889738244151033,0,1.0,0.13537898682404295,-1.854213120754698,True
79,대조,0,5.0,33.0,845.94,27725.0,4.0,8.18,0.0,0.0,0,2.5,1.0,1.0,253.45,11.0,5.0,1,1,5.0,3.5263605246161616,6.741629853890251,0.009669716528358985,0,0.0,0.09035588395679615,-2.309297302792119,True
80,대조,0,1.0,18.0,449.3,18293.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,112.02,3.0,1.0,0,1,1.0,2.9444389791664403,6.109914027307526,0.0,0,0.0,0.07318952702747329,-2.538696755301251,True
83,대조,0,1.0,10.0,87.27,41.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,69.42999999999999,5.0,1.0,0,1,1.0,2.3978952727983707,4.480400299032142,0.0,0,1.0,0.02432483384351204,-3.691631912094087,True
91,대조,0,1.0,31.0,491.62,60274.0,0.0,0.0,0.0,0.0,0,1.5,1.0,1.0,167.32,7.0,1.0,1,1,1.0,3.4657359027997265,6.199738085755463,0.0,0,0.0,0.05783568491018527,-2.790573720356264,True
96,대조,0,30.0,5.0,61.28,16.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,30.0,0,0,30.0,1.791759469228055,4.131640346965797,0.0,0,2.0,0.03059692781440957,-3.455780886872013,True
104,처치,1,1.0,22.0,873.9300000000001,498.0,6.0,16.03,0.0,1.0,1,0.0,0.0,0.0,65.5,6.0,1.0,0,1,1.0,3.1354942159291497,6.774143883157444,0.018342430171752886,0,1.0,0.1323546916558591,-1.8802976233089885,True
111,대조,0,2.0,13.0,344.12,12985.0,1.0,1.5,0.0,0.0,0,0.0,0.0,0.0,81.65,3.0,2.0,0,1,2.0,2.6390573296152584,5.843892182640846,0.00435894455422527,0,0.0,0.05007889249450842,-2.942779324594081,True
112,대조,0,9.0,18.0,405.06,12625.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.6899999999999995,2.0,9.0,0,1,9.0,2.9444389791664403,6.006500931934095,0.0,0,0.0,0.05697253937077698,-2.8065260163837125,True
127,대조,0,2.0,39.0,915.44,51559.0,5.0,10.99,0.0,0.0,1,0.0,0.0,0.0,191.46,8.0,2.0,0,1,2.0,3.6888794541139363,6.820496598688293,0.012005155990561915,0,0.0,0.1261629600864759,-1.93531949974768,True
138,처치,1,4.0,6.0,422.79,238.0,10.0,25.5,0.0,1.0,0,0.0,0.0,0.0,41.78,2.0,4.0,0,1,4.0,1.9459101490553132,6.049238049519942,0.060313630880579006,0,1.0,0.12234712181334101,-1.9703888949156552,True
139,대조,0,10.0,19.0,548.04,32726.0,3.0,10.47,0.0,0.0,1,2.5,1.0,1.0,207.76,7.0,10.0,1,1,10.0,2.995732273553991,6.308171298600379,0.019104444931026934,0,0.0,0.11768958252241661,-2.0144934397228083,True
140,대조,0,3.0,12.0,184.4,95.0,1.0,3.49,0.0,2.0,0,0.0,0.0,0.0,167.4,3.0,3.0,0,1,3.0,2.5649493574615367,5.2225156531317545,0.018926247288503253,0,2.0,0.049362042527470035,-2.95795153444085,True
145,대조,0,22.0,7.0,157.96,78.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,51.68,2.0,22.0,0,1,22.0,2.0794415416798357,5.0686525982435615,0.0,0,1.0,0.04252050495895071,-3.1143178765230677,True
160,대조,0,3.0,6.0,155.12,68.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,89.77,4.0,3.0,0,1,3.0,1.9459101490553132,5.050624942312414,0.0,0,1.0,0.03209979225382152,-3.4062794325195522,True
161,대조,0,2.0,22.0,427.96,208.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,149.4,8.0,2.0,0,1,2.0,3.1354942159291497,6.061363674487649,0.0,0,0.0,0.07336895008997034,-2.5360546591055604,True
162,대조,0,6.0,9.0,336.58,113.0,4.0,13.48,0.0,1.0,0,5.49,1.0,1.0,158.53,1.0,6.0,1,1,6.0,2.302585092994046,5.821802519260782,0.040049913839206135,0,1.0,0.08775608046913602,-2.341346256899512,True
164,대조,0,1.0,18.0,458.0,13004.0,5.0,8.34,0.0,0.0,1,0.0,0.0,0.0,313.25,9.0,1.0,0,1,1.0,2.9444389791664403,6.129050210060545,0.018209606986899562,0,0.0,0.09523780091494219,-2.251295214308862,True
166,대조,0,13.0,14.0,280.8,135.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,188.26,7.0,13.0,0,1,13.0,2.70805020110221,5.64119759946458,0.0,0,0.0,0.0680858025055147,-2.6164720363481577,True
181,대조,0,1.0,5.0,272.89,10778.0,1.0,3.19,0.0,2.0,0,0.0,0.0,0.0,75.88,2.0,1.0,0,1,1.0,1.791759469228055,5.612726565927474,0.011689691817215728,0,2.0,0.049630460962378366,-2.952246119884018,True
187,대조,0,4.0,6.0,105.61,61.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,8.69,2.0,4.0,0,1,4.0,1.9459101490553132,4.669177315962384,0.0,0,2.0,0.02789951019753134,-3.5508500506578837,True
200,대조,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.0,0,0,90.0,0.0,0.0,0.0,0,0.0,0.007786375015088601,-4.8475630185315,False
205,대조,0,1.0,25.0,607.0600000000001,228.0,6.0,25.86,0.0,0.0,0,5.0,2.0,1.0,172.46,6.0,1.0,1,1,1.0,3.258096538021482,6.410273561307727,0.042598754653576244,0,0.0,0.11418409777511343,-2.0486971050940546,True
211,대조,0,2.0,4.0,124.66,74.0,2.0,8.38,0.0,0.0,1,0.0,0.0,0.0,169.08,12.0,2.0,0,1,2.0,1.6094379124341003,4.833579846974801,0.06722284614150491,0,0.0,0.09730604658989571,-2.2275224429013125,True
215,대조,0,2.0,17.0,182.97,114.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,35.0,5.0,2.0,0,1,2.0,2.8903717578961645,5.214772700837692,0.005465376837732962,0,0.0,0.038228667717707526,-3.225191024110547,True
220,처치,1,7.0,14.0,329.05,26787.0,5.0,10.79,0.0,0.0,1,0.0,0.0,0.0,302.96999999999997,8.0,7.0,0,1,7.0,2.70805020110221,5.79924415813478,0.03279136909284303,0,0.0,0.10683922758754305,-2.1234414423710817,True
227,대조,0,5.0,18.0,144.82,7528.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,73.64,6.0,5.0,0,1,5.0,2.9444389791664403,4.9823729843782845,0.0,0,0.0,0.03297735435345869,-3.378400819446311,True
228,대조,0,20.0,11.0,850.09,13115.0,0.0,0.0,0.0,0.0,0,2.0,2.0,1.0,191.6,3.0,20.0,1,1,20.0,2.4849066497880004,6.746517880913244,0.0,0,0.0,0.09057915682350948,-2.3065838313836244,True
236,대조,0,15.0,2.0,58.830000000000005,21.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,15.0,1.0986122886681098,4.091507207401941,0.0,0,2.0,0.023248078308636944,-3.738010226142027,False
248,대조,0,12.0,2.0,375.25,132.0,1.0,6.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,12.0,0,0,12.0,1.0986122886681098,5.930253816063085,0.015989340439706862,0,1.0,0.08985535155137946,-2.3154023688120073,True
251,대조,0,7.0,14.0,290.75,7348.0,1.0,3.79,0.0,1.0,0,0.0,0.0,0.0,198.39000000000001,6.0,7.0,0,1,7.0,2.70805020110221,5.675897271166665,0.013035253654342218,0,1.0,0.058108896608340954,-2.7855708884746315,True
261,대조,0,8.0,2.0,25.0,9131.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36.82,4.0,8.0,0,1,8.0,1.0986122886681098,3.258096538021482,0.0,0,0.0,0.013093818456813377,-4.322434735440582,False
264,대조,0,2.0,10.0,267.24,134.0,5.0,7.25,0.0,0.0,1,0.0,0.0,0.0,99.52,3.0,2.0,0,1,2.0,2.3978952727983707,5.591882102157973,0.02712917227959886,0,0.0,0.08267836663099598,-2.406500176673455,True
265,대조,0,24.0,9.0,575.9,302.0,4.0,9.17,0.0,0.0,0,0.0,0.0,0.0,67.62,1.0,24.0,0,1,24.0,2.302585092994046,6.357668941262844,0.01592290328181976,0,0.0,0.09857100822337296,-2.2132040886667173,True
266,처치,1,19.0,5.0,189.02,14617.0,5.0,22.16,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,19.0,1.791759469228055,5.247129329778604,0.11723627129404296,0,0.0,0.2089974560350179,-1.3309791040907832,True
273,대조,0,1.0,15.0,242.81,104.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,137.55,9.0,1.0,0,1,1.0,2.772588722239781,5.496389233433223,0.0,0,0.0,0.03956774261730205,-3.189369245290189,True
283,대조,0,2.0,11.0,908.3000000000001,364.0,6.0,25.94,0.0,1.0,1,0.0,0.0,0.0,145.83,3.0,2.0,0,1,2.0,2.4849066497880004,6.812675072731867,0.028558846196190684,0,1.0,0.15013495636066518,-1.7335429660179544,True
286,대조,0,1.0,11.0,311.11,166.0,1.0,2.88,0.0,1.0,0,0.0,0.0,0.0,12.78,1.0,1.0,0,1,1.0,2.4849066497880004,5.743355689775927,0.009257175918485423,0,1.0,0.05163179500362812,-2.910605163775395,True
291,대조,0,3.0,19.0,781.86,523.0,3.0,7.49,0.0,0.0,0,0.0,0.0,0.0,20.97,1.0,3.0,0,1,3.0,2.995732273553991,6.662953880515125,0.009579720154503363,0,0.0,0.08211203875758048,-2.4139906955935304,True
301,처치,1,2.0,13.0,1265.99,524.0,13.0,43.42,0.0,0.0,1,7.5,3.0,3.0,374.65,4.0,2.0,1,1,2.0,2.6390573296152584,7.144399287630166,0.034297269330721414,0,0.0,0.18215581549421472,-1.50180938507279,True
308,대조,0,3.0,15.0,326.23,11535.0,1.0,3.79,0.0,0.0,0,1.5,1.0,1.0,182.31,7.0,3.0,1,1,3.0,2.772588722239781,5.790663287567157,0.011617570425773226,0,0.0,0.05543340412658995,-2.8355438189678748,True
314,대조,0,16.0,1.0,151.38,114.0,2.0,6.68,0.0,0.0,1,3.0,1.0,1.0,132.51,2.0,16.0,1,1,16.0,0.6931471805599453,5.026377401044863,0.04412736160655305,0,0.0,0.08774679619453536,-2.341462236216403,True
318,대조,0,5.0,21.0,199.49,1853.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,91.16,9.0,5.0,0,1,5.0,3.091042453358316,5.3007643701910885,0.0,0,1.0,0.04006429285490821,-3.1763808253671737,True
339,대조,0,4.0,12.0,359.14,257.0,0.0,0.0,0.0,1.0,0,1.5,1.0,1.0,142.75,6.0,4.0,1,1,4.0,2.5649493574615367,5.886492844741359,0.0,0,1.0,0.05062257248955615,-2.9314088568496843,True
343,대조,0,10.0,11.0,304.22,103.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0.0,29.85,2.0,10.0,0,1,10.0,2.4849066497880004,5.721032828062729,0.00657418973111564,0,0.0,0.053890209659453715,-2.8654097973147508,True
348,대조,0,20.0,24.0,445.07,279.0,0.0,0.0,0.0,0.0,0,2.88,1.0,1.0,302.21,3.0,20.0,1,1,20.0,3.2188758248682006,6.100475890377242,0.0,0,0.0,0.0702689835981017,-2.582564813773948,True
356,대조,0,1.0,19.0,285.64,26025.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,251.03,11.0,1.0,0,1,1.0,2.995732273553991,5.658227072996699,0.0,0,0.0,0.04337976632661758,-3.093413363955153,True
358,대조,0,1.0,42.0,1672.54,644.0,4.0,11.16,0.0,0.0,1,0.0,0.0,0.0,597.67,24.0,1.0,0,1,1.0,3.7612001156935624,7.422696422367526,0.006672486158776472,0,0.0,0.15135718735219697,-1.7239958597852647,True
362,대조,0,4.0,11.0,432.1,12272.0,1.0,5.0,0.0,1.0,1,0.0,0.0,0.0,144.48000000000002,5.0,4.0,0,1,4.0,2.4849066497880004,6.070968648220581,0.011571395510298541,0,1.0,0.08816771179379199,-2.3362152620990795,True
364,대조,0,17.0,10.0,202.79,88.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,12.440000000000001,2.0,17.0,0,1,17.0,2.3978952727983707,5.31709005187132,0.0,0,3.0,0.04853494418736129,-2.9757189234767862,True
369,대조,0,25.0,5.0,274.12,132.0,1.0,5.0,0.0,0.0,0,0.0,0.0,0.0,170.98,3.0,25.0,0,1,25.0,1.791759469228055,5.617207366124011,0.018240186779512623,0,0.0,0.0711709655294279,-2.5688397423497014,True
370,대조,0,1.0,27.0,710.77,39480.0,3.0,6.93,0.0,0.0,1,6.0,2.0,1.0,313.59000000000003,12.0,1.0,1,1,1.0,3.332204510175204,6.567754825517484,0.009749989448063368,0,0.0,0.10578441290121234,-2.1345437124867233,True
374,대조,0,1.0,25.0,1776.26,36489.0,2.0,6.99,0.0,3.0,0,0.0,0.0,0.0,181.18,6.0,1.0,0,1,1.0,3.258096538021482,7.4828281314641805,0.003935234706630786,0,3.0,0.11893919166262512,-2.002514277425962,True
391,대조,0,7.0,13.0,513.48,222.0,1.0,5.0,0.0,0.0,1,0.0,0.0,0.0,122.34,5.0,7.0,0,1,7.0,2.6390573296152584,6.2431566818266075,0.00973747760380151,0,0.0,0.09476319545114131,-2.256815471716159,True
