household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
27,대조,0,5.0,66.0,904.55,537.0,0.0,0.0,0.0,7.0,1,1.0,1.0,1.0,423.42,37.0,5.0,1,1,5.0,4.204692619390966,6.808542493910545,0.0,0,6.0,0.16063262293767885,-1.6535285730520932,True,pair_2156_27
39,처치,1,2.0,14.0,717.23,306.0,5.0,10.0,0.0,4.0,1,0.0,0.0,0.0,324.0,3.0,2.0,0,1,2.0,2.70805020110221,6.576789852013997,0.013942528895891136,0,4.0,0.10049807270527443,-2.1917026457639235,True,pair_39_1607
56,처치,1,4.0,30.0,974.57,405.0,2.0,6.890000000000001,0.0,1.0,1,3.99,2.0,2.0,547.02,14.0,4.0,1,1,4.0,3.4339872044851463,6.883021915561462,0.007069784622961922,0,1.0,0.07644520595603854,-2.491655908717419,True,pair_56_2107
74,대조,0,4.0,10.0,147.91,107.0,0.0,0.0,0.0,5.0,1,0.0,0.0,0.0,39.81,2.0,4.0,0,1,4.0,2.3978952727983707,5.003342096602114,0.0,0,5.0,0.013800405793603586,-4.269160765253601,True,pair_1257_74
78,대조,0,5.0,43.0,561.3,378.0,33.0,76.13,0.0,5.0,1,35.230000000000004,32.0,17.0,238.34,15.0,5.0,1,1,5.0,3.784189633918261,6.332035515298156,0.1356315695706396,0,5.0,0.5651171575147024,0.26195640089027233,True,pair_540_78
99,처치,1,1.0,26.0,933.81,500.0,2.0,3.0,2.0,3.0,0,2.0,2.0,2.0,204.89,6.0,1.0,1,1,1.0,3.295836866004329,6.840343300082881,0.0032126449706042985,1,3.0,0.0529254498924114,-2.884493494932165,True,pair_99_2173
105,대조,0,6.0,19.0,361.38,202.0,1.0,1.5,8.0,8.0,1,6.0,4.0,4.0,345.05,20.0,6.0,1,1,6.0,2.995732273553991,5.892693385007961,0.004150755437489623,1,6.0,0.05428473741297894,-2.8576984243430745,True,pair_1060_105
161,처치,1,1.0,76.0,1700.19,801.0,8.0,31.35,0.0,2.0,1,2.69,1.0,1.0,709.39,31.0,1.0,1,1,1.0,4.343805421853684,7.43908328515858,0.018439115628253313,0,2.0,0.20849682299742217,-1.3340100895136007,True,pair_161_630
219,처치,1,1.0,35.0,1639.99,20766.0,12.0,55.09,0.0,6.0,1,37.81,9.0,8.0,943.59,17.0,1.0,1,1,1.0,3.58351893845611,7.403054997226307,0.03359166824187953,0,6.0,0.42674895999732726,-0.2951278113169145,True,pair_219_1475
222,대조,0,5.0,9.0,373.04,247.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,412.41,9.0,5.0,0,1,5.0,2.302585092994046,5.924362743567246,0.0,0,3.0,0.029390460019848814,-3.497254133308271,True,pair_2367_222
