household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
27,대조,0,1.0,69.0,918.58,538.0,0.0,0.0,0.0,7,1,0.0,0.0,0.0,378.03000000000003,31.0,1.0,0,1,1.0,4.248495242049359,6.823917044066181,0.0,0,6,0.220457111930424,-1.2630045347063852,True,pair_761_27
40,대조,0,2.0,59.0,2292.02,231490.0,2.0,4.24,5.0,11,1,1.92,1.0,1.0,766.27,27.0,2.0,1,1,2.0,4.0943445622221,7.73762500501786,0.001849896597760927,1,6,0.3076199214704453,-0.8112700515244614,True,pair_1229_40
42,대조,0,6.0,12.0,245.86,186.0,0.0,0.0,0.0,3,1,1.0,1.0,1.0,139.69,5.0,6.0,1,1,6.0,2.5649493574615367,5.508821374315783,0.0,0,3,0.023788363581124548,-3.714482867547965,True,pair_1506_42
101,처치,1,1.0,65.0,1599.08,98065.0,8.0,99.54,3.0,4,1,55.4,20.0,1.0,309.06,27.0,1.0,1,1,1.0,4.189654742026425,7.377808906977914,0.062248292768341804,1,4,0.25125880565107284,-1.0919098827650309,True,pair_101_489
117,대조,0,6.0,11.0,279.51,183.0,4.0,8.5,2.0,7,1,1.67,1.0,1.0,88.46000000000001,2.0,6.0,1,1,6.0,2.4849066497880004,5.636609374951169,0.030410360988873387,1,6,0.04857130790569682,-2.974931757047627,True,pair_2075_117
136,처치,1,1.0,8.0,195.0,109.0,4.0,16.5,0.0,2,1,8.31,3.0,2.0,76.75,4.0,1.0,1,1,1.0,2.1972245773362196,5.278114659230517,0.08461538461538462,0,2,0.027077238200020684,-3.5816112413968075,True,pair_136_2385
165,대조,0,10.0,29.0,369.26,46924.0,4.0,9.870000000000001,0.0,7,1,0.0,0.0,0.0,96.0,4.0,10.0,0,1,10.0,3.4011973816621555,5.91420546156103,0.026729133943562803,0,6,0.09423178757516204,-2.2630258647566635,True,pair_2486_165
192,처치,1,4.0,13.0,444.18,168.0,9.0,24.68,1.0,4,1,2.5,1.0,1.0,157.36,6.0,4.0,1,1,4.0,2.6390573296152584,6.098478694762464,0.055563060020712325,1,4,0.05790388912323876,-2.7893227459215306,True,pair_192_2068
196,처치,1,4.0,17.0,735.87,20106.0,6.0,12.84,5.0,6,0,0.0,0.0,0.0,54.93,2.0,4.0,0,1,4.0,2.8903717578961645,6.602411485857249,0.017448734151412612,1,6,0.07660662855483825,-2.4893717239640623,True,pair_196_2147
208,대조,0,1.0,17.0,564.51,33246.0,4.0,9.79,5.0,8,1,7.5,5.0,4.0,301.5,11.0,1.0,1,1,1.0,2.8903717578961645,6.337727978865784,0.01734247400400347,1,6,0.09391374383066561,-2.2667577648187254,True,pair_1336_208
209,대조,0,1.0,35.0,1155.29,62866.0,5.0,17.0,0.0,5,1,16.990000000000002,6.0,6.0,293.18,13.0,1.0,1,1,1.0,3.58351893845611,7.052971882822851,0.014714920063360715,0,5,0.1930212217570482,-1.4304972306770292,True,pair_864_209
222,대조,0,2.0,12.0,474.92,306.0,0.0,0.0,0.0,3,1,2.99,1.0,1.0,310.53000000000003,6.0,2.0,1,1,2.0,2.5649493574615367,6.16524977287965,0.0,0,3,0.04283223670891709,-3.106687664121112,True,pair_538_222
230,처치,1,2.0,34.0,682.97,11154.0,9.0,32.0,0.0,3,1,0.0,0.0,0.0,135.49,7.0,2.0,0,1,2.0,3.5553480614894135,6.527914057011565,0.04685418100355799,0,3,0.10668780091579934,-2.1250293057299627,True,pair_230_1138
242,처치,1,7.0,8.0,522.81,251.0,3.0,13.5,0.0,4,1,20.09,13.0,7.0,530.23,8.0,7.0,1,1,7.0,2.1972245773362196,6.26112902314758,0.02582200034429334,0,4,0.05642169040937697,-2.816825694102584,True,pair_242_273
248,처치,1,3.0,21.0,1358.28,65789.0,6.0,18.67,0.0,2,1,1.5,1.0,1.0,201.89,2.0,3.0,1,1,3.0,3.091042453358316,7.214710426777503,0.013745324969814766,0,2,0.09970299894557025,-2.2005289538472943,True,pair_248_490
249,대조,0,4.0,32.0,831.82,518.0,11.0,24.14,0.0,3,1,2.0,2.0,1.0,21.689999999999998,3.0,4.0,1,1,4.0,3.4965075614664802,6.7248175323822315,0.029020701594094877,0,3,0.10518038277899253,-2.140945345527438,True,pair_1546_249
273,대조,0,2.0,29.0,683.6,283.0,11.0,31.11,0.0,2,0,11.98,2.0,2.0,102.32,3.0,2.0,1,1,2.0,3.4011973816621555,6.528834726096085,0.04550906963136337,0,2,0.05649502568423243,-2.8154490436999557,True,pair_242_273
304,처치,1,2.0,41.0,1295.23,48270.0,6.0,15.08,0.0,8,1,4.67,3.0,2.0,430.89,17.0,2.0,1,1,2.0,3.7376696182833684,7.167215330302239,0.011642719825822441,0,6,0.25199398598105177,-1.0880057960023497,True,pair_304_898
308,대조,0,7.0,19.0,738.5,9744.0,11.0,30.92,0.0,1,0,0.0,0.0,0.0,187.75,6.0,7.0,0,1,7.0,2.995732273553991,6.6059742821508545,0.04186865267433988,0,1,0.0381115629316061,-3.2283807490496055,True,pair_2372_308
322,대조,0,43.0,6.0,133.52,55.0,6.0,16.15,0.0,3,0,0.0,0.0,0.0,143.86,4.0,43.0,0,1,43.0,1.9459101490553132,4.901712886872069,0.12095566207309764,0,3,0.010528744491854109,-4.543061627614529,True,pair_1396_322
342,처치,1,2.0,12.0,334.75,167.0,1.0,2.59,0.0,1,0,0.0,0.0,0.0,216.39,3.0,2.0,0,1,2.0,2.5649493574615367,5.816366835403347,0.007737117251680358,0,1,0.014766790784330934,-4.200497580166672,True,pair_342_1957
