household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
2,대조,0,37.0,7.0,330.69,142.0,4.0,7.88,0.0,1,0,4.5,3.0,2.0,130.89000000000001,1.0,37.0,1,1,37.0,2.0794415416798357,5.804200797774708,0.023828963681998244,0,1,0.008068112559519686,-4.811734871725083,True
3,대조,0,19.0,2.0,46.11,36.0,2.0,6.0,0.0,3,0,0.0,0.0,0.0,22.53,1.0,19.0,0,1,19.0,1.0986122886681098,3.85248529271195,0.13012361743656473,0,3,0.005123878547734899,-5.268706547228967,False
4,대조,0,32.0,4.0,141.93,52.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,32.0,0,0,32.0,1.6094379124341003,4.962354999921024,0.0,0,1,0.0031189838077909223,-5.76712417486909,False
6,대조,0,2.0,39.0,751.58,338.0,1.0,1.88,0.0,4,0,0.0,0.0,0.0,236.52,12.0,2.0,0,1,2.0,3.6888794541139363,6.623507303264638,0.002501397056866867,0,4,0.07716534434643035,-2.481499631673632,True
7,대조,0,1.0,13.0,542.78,294.0,1.0,1.0,0.0,4,1,0.0,0.0,0.0,298.63,4.0,1.0,0,1,1.0,2.6390573296152584,6.298544753294745,0.0018423670732156676,0,4,0.06239879009098242,-2.709778823634076,True
8,대조,0,2.0,17.0,923.59,9848.0,10.0,21.37,0.0,10,1,5.29,2.0,2.0,535.64,8.0,2.0,1,1,2.0,2.8903717578961645,6.829350396007859,0.023137972476964887,0,6,0.17059831558043445,-1.5813928171933882,True
16,대조,0,4.0,6.0,54.52,25.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,10.16,2.0,4.0,0,1,4.0,1.9459101490553132,4.016743316198549,0.0,0,2,0.004633961391724952,-5.369698453053315,False
17,대조,0,19.0,9.0,562.13,264.0,1.0,2.69,0.0,5,1,0.0,0.0,0.0,72.14,2.0,19.0,0,1,19.0,2.302585092994046,6.3335105073464915,0.004785369932222084,0,5,0.05589590521702895,-2.8267453044169413,True
18,대조,0,6.0,35.0,1291.19,66506.0,10.0,36.88,3.0,4,1,34.95,13.0,11.0,547.42,12.0,6.0,1,1,6.0,3.58351893845611,7.1640937323539875,0.028562798658601757,1,4,0.14186146445929618,-1.7999145707961504,True
22,대조,0,2.0,25.0,1150.97,110162.0,7.0,16.78,13.0,8,1,21.93,10.0,8.0,321.1,9.0,2.0,1,1,2.0,3.258096538021482,7.04922879925008,0.014579007272126989,1,6,0.17035202698871382,-1.58313443891914,True
23,대조,0,5.0,14.0,305.51,89.0,2.0,5.49,0.0,3,0,0.0,0.0,0.0,51.93,3.0,5.0,0,1,5.0,2.70805020110221,5.725250381271442,0.017969951883735395,0,3,0.02327385347365838,-3.736875750412211,True
25,대조,0,1.0,14.0,408.28000000000003,12233.0,9.0,17.88,0.0,4,1,9.32,4.0,3.0,132.75,6.0,1.0,1,1,1.0,2.70805020110221,6.014399518390478,0.04379347506613108,0,4,0.0677762609466234,-2.62136084913232,True
26,대조,0,18.0,13.0,148.39000000000001,103.0,3.0,4.49,0.0,1,0,21.97,7.0,5.0,233.68,10.0,18.0,1,1,18.0,2.6390573296152584,5.006560336054226,0.030258103645798232,0,1,0.007130230422548427,-4.936255955750699,True
27,대조,0,1.0,69.0,918.58,538.0,0.0,0.0,0.0,7,1,0.0,0.0,0.0,378.03000000000003,31.0,1.0,0,1,1.0,4.248495242049359,6.823917044066181,0.0,0,6,0.220457111930424,-1.2630045347063852,True
