household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
14,처치,1,27.0,12.0,149.61,6576.0,3.0,6.39,0.0,0.0,0,10.11,6.0,6.0,395.99,20.0,27.0,1,1,27.0,2.5649493574615367,5.014693714223758,0.042711048726689384,0,0.0,0.07216550036947487,-2.5538912784843553,True,pair_14_1703
19,대조,0,5.0,35.0,1008.07,37120.0,29.0,64.49,0.0,0.0,1,24.27,17.0,14.0,543.09,18.0,5.0,1,1,5.0,3.58351893845611,6.916784393566657,0.063973731982898,0,0.0,0.08863001277576553,-2.3304784029799768,True,pair_720_19
22,처치,1,3.0,14.0,672.0600000000001,13837.0,16.0,54.730000000000004,2.0,1.0,1,39.18,11.0,10.0,346.48,7.0,3.0,1,1,3.0,2.70805020110221,6.511834478716894,0.0814361812933369,1,1.0,0.5094442175591969,0.037781363787605236,True,pair_22_1460
25,처치,1,6.0,9.0,349.83,126.0,4.0,5.51,0.0,0.0,1,2.67,2.0,2.0,184.03,4.0,6.0,1,1,6.0,2.302585092994046,5.860301775655642,0.015750507389303375,0,0.0,0.08442931566922526,-2.383632886233409,True,pair_25_867
26,대조,0,10.0,7.0,213.43,104.0,4.0,9.55,0.0,0.0,0,11.379999999999999,7.0,4.0,155.23,6.0,10.0,1,1,10.0,2.0794415416798357,5.367983344781139,0.04474534976338847,0,0.0,0.08577876792813878,-2.3663010745582476,True,pair_2429_26
28,대조,0,8.0,18.0,307.26,97.0,2.0,3.67,0.0,0.0,0,3.49,1.0,1.0,50.46,6.0,8.0,1,1,8.0,2.9444389791664403,5.730943582718574,0.011944281715810714,0,0.0,0.09071652992018893,-2.3049173050264917,True,pair_52_28
39,처치,1,30.0,7.0,506.75,209.0,6.0,19.720000000000002,0.0,1.0,1,4.27,4.0,4.0,216.78,2.0,30.0,1,1,30.0,2.0794415416798357,6.229989200460494,0.03891465219536261,0,1.0,0.6380710863961573,0.567001876539291,True,pair_39_248
49,대조,0,1.0,19.0,1022.32,97601.0,32.0,101.95,0.0,0.0,1,91.38,90.0,30.0,733.57,9.0,1.0,1,1,1.0,2.995732273553991,6.93080752251229,0.09972415681978246,0,0.0,0.09014794952604029,-2.311829800141065,True,pair_481_49
51,처치,1,10.0,12.0,322.68,138.0,6.0,20.14,0.0,0.0,0,24.85,16.0,7.0,443.41,6.0,10.0,1,1,10.0,2.5649493574615367,5.779755373419436,0.06241477624891534,0,0.0,0.0874029768297413,-2.345765064647961,True,pair_51_1568
52,처치,1,4.0,16.0,651.23,238.0,6.0,14.3,0.0,0.0,1,39.86,12.0,12.0,532.64,16.0,4.0,1,1,4.0,2.833213344056216,6.480397260457409,0.021958447860203,0,0.0,0.09072025790498976,-2.304872111068825,True,pair_52_28
57,대조,0,4.0,37.0,831.04,29564.0,9.0,31.83,0.0,0.0,1,0.0,0.0,0.0,160.21,9.0,4.0,0,1,4.0,3.6375861597263857,6.723880516588627,0.038301405467847514,0,0.0,0.08865277297330418,-2.330196661911093,True,pair_2205_57
85,처치,1,2.0,37.0,753.22,21799.0,11.0,25.35,0.0,1.0,1,19.22,12.0,8.0,393.19,22.0,2.0,1,1,2.0,3.6375861597263857,6.625684102637599,0.033655505695547115,0,1.0,0.6716007287012475,0.7154338515938047,True,pair_85_760
96,처치,1,10.0,9.0,239.19,74.0,2.0,5.98,0.0,1.0,0,2.79,1.0,1.0,154.45000000000002,3.0,10.0,1,1,10.0,2.302585092994046,5.481430276805893,0.025001045194197085,0,1.0,0.669978496423419,0.7080878022887126,True,pair_96_409
114,대조,0,7.0,10.0,356.91,16429.0,4.0,23.98,0.0,1.0,1,0.0,0.0,0.0,3.1799999999999997,1.0,7.0,0,1,7.0,2.3978952727983707,5.880281558147221,0.06718780644980527,0,1.0,0.6439069156009353,0.5923620049599653,True,pair_1426_114
