household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
2,대조,0,37.0,7.0,330.69,142.0,13.0,38.97,0.0,1.0,0,3.08,2.0,2.0,130.89000000000001,1.0,37.0,1,1,37.0,2.0794415416798357,5.804200797774708,0.11784450694003447,0,1.0,0.03606480935064674,-3.2857064830627296,True
3,대조,0,19.0,2.0,46.11,36.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,58.910000000000004,2.0,19.0,0,1,19.0,1.0986122886681098,3.85248529271195,0.0,0,3.0,0.0004176405627469068,-7.780471665299471,False
4,대조,0,32.0,4.0,141.93,52.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,32.0,0,0,32.0,1.6094379124341003,4.962354999921024,0.0,0,1.0,0.0026618872402347955,-5.926054482584944,False
6,대조,0,2.0,39.0,751.58,338.0,2.0,11.48,0.0,4.0,0,0.0,0.0,0.0,384.21,17.0,2.0,0,1,2.0,3.6888794541139363,6.623507303264638,0.015274488411080657,0,4.0,0.039280764766240865,-3.196947254411918,True
7,대조,0,1.0,13.0,542.78,294.0,0.0,0.0,0.0,4.0,1,12.059999999999999,4.0,3.0,556.74,9.0,1.0,1,1,1.0,2.6390573296152584,6.298544753294745,0.0,0,4.0,0.038401765378736595,-3.2204932959613326,True
8,대조,0,2.0,17.0,923.59,9848.0,0.0,0.0,0.0,10.0,1,0.0,0.0,0.0,732.99,10.0,2.0,0,1,2.0,2.8903717578961645,6.829350396007859,0.0,0,6.0,0.07193799495809301,-2.5572939794830916,True
16,대조,0,4.0,6.0,54.52,25.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,10.16,2.0,4.0,0,1,4.0,1.9459101490553132,4.016743316198549,0.0,0,2.0,0.001777969654660028,-6.330503657037713,False
17,대조,0,19.0,9.0,562.13,264.0,2.0,1.17,0.0,5.0,1,0.0,0.0,0.0,72.14,2.0,19.0,0,1,19.0,2.302585092994046,6.3335105073464915,0.002081369078327077,0,5.0,0.037983526945889225,-3.231879009962457,True
18,대조,0,6.0,35.0,1291.19,66506.0,0.0,0.0,3.0,4.0,1,0.0,0.0,0.0,845.44,18.0,6.0,0,1,6.0,3.58351893845611,7.1640937323539875,0.0,1,4.0,0.07096284213074477,-2.5719923459458,True
22,대조,0,2.0,25.0,1150.97,110162.0,0.0,0.0,13.0,8.0,1,0.0,0.0,0.0,579.73,15.0,2.0,0,1,2.0,3.258096538021482,7.04922879925008,0.0,1,6.0,0.047689694408518,-2.9941756085161417,True
