household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
97,대조,0,1.0,28.0,742.77,106381.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,425.04,12.0,1.0,0,1,1.0,3.367295829986474,6.6117318472545925,0.0,0,4.0,0.0724288554698564,-2.54996472103001,True,pair_1814_97
164,처치,1,10.0,22.0,710.22,365.0,2.0,13.98,6.0,3.0,1,26.950000000000003,5.0,4.0,513.53,11.0,10.0,1,1,10.0,3.1354942159291497,6.566981805289108,0.01968404156458562,1,3.0,0.038905374502018336,-3.206940466695015,True,pair_164_546
235,대조,0,2.0,25.0,1620.24,63205.0,0.0,0.0,0.0,7.0,1,0.0,0.0,0.0,563.76,8.0,2.0,0,1,2.0,3.258096538021482,7.390946567531446,0.0,0,6.0,0.15636935767431023,-1.6854938851155614,True,pair_1845_235
249,대조,0,4.0,32.0,831.82,518.0,22.0,54.010000000000005,0.0,3.0,1,1.96,2.0,2.0,24.4,5.0,4.0,1,1,4.0,3.4965075614664802,6.7248175323822315,0.06492991272150225,0,3.0,0.17700998753889907,-1.5367379073208776,True,pair_1816_249
346,대조,0,6.0,17.0,1477.58,389.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,380.66,7.0,6.0,0,1,6.0,2.8903717578961645,7.298837446722848,0.0,0,3.0,0.15254554985231694,-1.7147738526664076,True,pair_968_346
348,대조,0,1.0,52.0,1154.63,52510.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,378.05,6.0,1.0,0,1,1.0,3.970291913552122,7.05240092879509,0.0,0,1.0,0.07512192733208549,-2.510549424211017,True,pair_644_348
353,대조,0,15.0,23.0,986.28,376.0,1.0,4.69,1.0,3.0,1,0.0,0.0,0.0,428.2,10.0,15.0,0,1,15.0,3.1780538303479458,6.894953687144928,0.004755241919130471,1,3.0,0.052224128813278876,-2.8985734256120415,True,pair_706_353
393,대조,0,5.0,29.0,824.8,382.0,12.0,49.82,0.0,4.0,0,10.48,2.0,2.0,259.21,14.0,5.0,1,1,5.0,3.4011973816621555,6.71635261345199,0.06040252182347236,0,4.0,0.06612859244625849,-2.647737532659017,True,pair_2053_393
430,대조,0,3.0,32.0,1185.8,454.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,616.32,15.0,3.0,0,1,3.0,3.4965075614664802,7.0790158884166665,0.0,0,1.0,0.06718261408998208,-2.6307949586772694,True,pair_670_430
451,대조,0,3.0,29.0,388.89,10197.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,249.05,20.0,3.0,0,1,3.0,3.4011973816621555,5.965864648057697,0.0,0,3.0,0.03510191777806306,-3.313766714952722,True,pair_636_451
483,대조,0,1.0,17.0,427.91,206.0,7.0,42.26,0.0,3.0,1,30.79,7.0,5.0,169.12,7.0,1.0,1,1,1.0,2.8903717578961645,6.061247106709183,0.09875908485429177,0,3.0,0.0943310230237286,-2.261863753943442,True,pair_1906_483
518,처치,1,2.0,24.0,1078.92,21191.0,21.0,64.4,2.0,4.0,1,31.5,22.0,14.0,530.85,13.0,2.0,1,1,2.0,3.2188758248682006,6.984642243300572,0.05968931894857821,1,4.0,0.0923414968829203,-2.285374582464671,True,pair_518_568
526,처치,1,2.0,32.0,868.35,79795.0,22.0,114.33,0.0,7.0,1,28.82,6.0,6.0,995.27,22.0,2.0,1,1,2.0,3.4965075614664802,6.7677458059737985,0.1316634997408879,0,6.0,0.28181510853788155,-0.9354758324713945,True,pair_526_844
546,대조,0,26.0,7.0,269.31,15621.0,14.0,42.47,2.0,3.0,1,0.0,0.0,0.0,0.0,0.0,26.0,0,0,26.0,2.0794415416798357,5.599569448528517,0.15769930563291373,1,3.0,0.039019383878411286,-3.2038956930595908,True,pair_164_546
568,대조,0,2.0,42.0,1855.1200000000001,801.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,899.83,13.0,2.0,0,1,2.0,3.7612001156935624,7.526243566428504,0.0,0,6.0,0.09246984638462258,-2.283844186368778,True,pair_518_568
588,대조,0,1.0,36.0,1505.99,91715.0,2.0,7.98,9.0,10.0,1,4.69,1.0,1.0,745.51,22.0,1.0,1,1,1.0,3.6109179126442243,7.317869562904413,0.005298839965736824,1,6.0,0.07866547525943685,-2.4606188181167115,True,pair_1067_588
636,처치,1,5.0,30.0,1056.8700000000001,15335.0,14.0,62.480000000000004,1.0,9.0,0,55.84,10.0,10.0,1059.33,20.0,5.0,1,1,5.0,3.4339872044851463,6.964012731522761,0.059117961527907874,1,6.0,0.03512425009063411,-3.3131075587853775,True,pair_636_451
644,처치,1,4.0,22.0,356.92,209.0,42.0,38.04,0.0,6.0,1,17.41,28.0,28.0,138.52,9.0,4.0,1,1,4.0,3.1354942159291497,5.88030949774182,0.10657850498711195,0,6.0,0.07531042875306933,-2.5078394612617765,True,pair_644_348
661,처치,1,1.0,63.0,1071.91,284.0,12.0,52.18,0.0,5.0,1,29.45,5.0,5.0,410.51,43.0,1.0,1,1,1.0,4.1588830833596715,6.978129862132399,0.0486794600292935,0,5.0,0.21376974232081677,-1.3023502329427623,True,pair_661_2376
670,처치,1,12.0,22.0,704.53,39639.0,1.0,0.49,0.0,4.0,1,30.29,5.0,4.0,830.52,15.0,12.0,1,1,12.0,3.1354942159291497,6.5589492934221,0.0006954991270776262,0,4.0,0.06722384305887515,-2.630137262505328,True,pair_670_430
690,처치,1,2.0,31.0,485.86,11569.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,297.27,17.0,2.0,0,1,2.0,3.4657359027997265,6.187976607421274,0.0,0,4.0,0.044380343652849416,-3.069563323987696,True,pair_690_1306
696,대조,0,1.0,51.0,2096.72,114651.0,6.0,37.46,0.0,2.0,1,46.16,4.0,4.0,1378.02,28.0,1.0,1,1,1.0,3.9512437185814275,7.648606319611093,0.017866000228928997,0,2.0,0.34546322282432856,-0.6390415837225348,True,pair_1479_696
706,처치,1,3.0,22.0,665.88,69357.0,0.0,0.0,0.0,6.0,1,0.0,0.0,0.0,504.2,16.0,3.0,0,1,3.0,3.1354942159291497,6.502610119684893,0.0,0,6.0,0.05230267109312944,-2.8969877356783647,True,pair_706_353
737,대조,0,8.0,11.0,423.18,12191.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,8.0,2.4849066497880004,6.0501578934472,0.0,0,1.0,0.01314852370682406,-4.318210061483356,True,pair_884_737
766,처치,1,2.0,16.0,1130.92,494.0,14.0,56.660000000000004,0.0,9.0,1,6.68,2.0,2.0,639.14,9.0,2.0,1,1,2.0,2.833213344056216,7.031670584887697,0.050100802886145795,0,6.0,0.14890734622639068,-1.7431967238788753,True,pair_766_2064
790,대조,0,7.0,17.0,828.61,267.0,16.0,88.34,0.0,2.0,1,24.4,8.0,8.0,245.9,5.0,7.0,1,1,7.0,2.8903717578961645,6.720955710844597,0.10661227839393683,0,2.0,0.2314374101172464,-1.200212533575368,True,pair_1261_790
831,처치,1,10.0,24.0,1434.81,426.0,13.0,50.730000000000004,0.0,0.0,1,11.18,2.0,2.0,745.11,14.0,10.0,1,1,10.0,3.2188758248682006,7.269484428876452,0.03535659773767956,0,0.0,0.2658551000944369,-1.0157549965751507,True,pair_831_1864
844,대조,0,2.0,24.0,723.51,244.0,9.0,107.89999999999999,0.0,4.0,1,50.86,8.0,5.0,473.88,11.0,2.0,1,1,2.0,3.2188758248682006,6.58549556428798,0.14913408245912288,0,4.0,0.28012156340042405,-0.9438586957464569,True,pair_526_844
881,처치,1,3.0,10.0,282.44,166.0,7.0,13.31,0.0,5.0,0,1.39,1.0,1.0,328.49,7.0,3.0,1,1,3.0,2.3978952727983707,5.647000460557217,0.047125053108624845,0,5.0,0.00954035173781479,-4.6426387719803355,True,pair_881_1852
883,처치,1,2.0,54.0,1498.72,33109.0,6.0,31.94,0.0,7.0,1,0.0,0.0,0.0,856.3,37.0,2.0,0,1,2.0,4.007333185232471,7.3130337029992445,0.02131151916301911,0,6.0,0.21698275241957737,-1.2833368548652324,True,pair_883_920
884,처치,1,3.0,4.0,95.77,14.0,3.0,18.86,0.0,0.0,0,0.0,0.0,0.0,36.88,4.0,3.0,0,1,3.0,1.6094379124341003,4.572337028892851,0.19693014513939647,0,0.0,0.013200075325979947,-4.31424477223194,True,pair_884_737
920,대조,0,3.0,46.0,1609.72,74851.0,2.0,17.98,0.0,6.0,1,0.0,0.0,0.0,820.51,26.0,3.0,0,1,3.0,3.8501476017100584,7.384436562981113,0.011169644410207987,0,6.0,0.2053250887635638,-1.3533385924075867,True,pair_883_920
934,처치,1,1.0,38.0,1986.54,32651.0,54.0,48.96,0.0,8.0,1,12.940000000000001,14.0,14.0,1080.39,27.0,1.0,1,1,1.0,3.6635616461296463,7.594652972112129,0.02464586668277508,0,6.0,0.2688799859109698,-1.0003124932165248,True,pair_934_1240
960,대조,0,6.0,8.0,211.18,15049.0,0.0,0.0,0.0,5.0,1,0.0,0.0,0.0,83.09,4.0,6.0,0,1,6.0,2.1972245773362196,5.357434971031125,0.0,0,5.0,0.009401004580987865,-4.657493252156376,True,pair_1007_960
968,처치,1,2.0,18.0,1410.29,761.0,15.0,32.6,0.0,9.0,1,41.43,51.0,16.0,1188.8,11.0,2.0,1,1,2.0,2.9444389791664403,7.252259458729159,0.023115813059725307,0,6.0,0.15215774176016547,-1.7177768447938617,True,pair_968_346
1001,대조,0,13.0,18.0,888.63,368.0,12.0,13.58,0.0,3.0,1,0.0,0.0,0.0,697.63,18.0,13.0,0,1,13.0,2.9444389791664403,6.790805645949292,0.01528195086819036,0,3.0,0.10396651006191672,-2.1539089607926387,True,pair_1363_1001
1007,처치,1,22.0,8.0,52.48,40.0,6.0,11.8,0.0,3.0,0,0.0,0.0,0.0,121.0,6.0,22.0,0,1,22.0,2.1972245773362196,3.9793077522337423,0.2248475609756098,0,3.0,0.00933593409496626,-4.664504656179348,True,pair_1007_960
1046,처치,1,5.0,16.0,609.01,261.0,3.0,9.23,0.0,3.0,0,32.54,6.0,5.0,182.34,7.0,5.0,1,1,5.0,2.833213344056216,6.413475350475609,0.015155744569054696,0,3.0,0.024274095498433394,-3.6937719585571998,True,pair_1046_1394
