household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
1,대조,0,5.0,10.0,569.28,265.0,23.0,48.51,0.0,0.0,1,28.24,18.0,14.0,319.93,6.0,5.0,1,1,5.0,2.3978952727983707,6.3461274682857605,0.08521290050590219,0,0.0,0.19464329002087796,-1.4201166958171816,True
2,대조,0,2.0,15.0,492.08,204.0,8.0,25.09,0.0,0.0,0,15.360000000000001,6.0,6.0,209.54,4.0,2.0,1,1,2.0,2.772588722239781,6.200671432683318,0.05098764428548204,0,0.0,0.18778879140165583,-1.4644425341546627,True
3,대조,0,1.0,15.0,876.3,529.0,18.0,55.87,0.0,0.0,0,56.32,27.0,18.0,598.14,7.0,1.0,1,1,1.0,2.772588722239781,6.776849009134338,0.06375670432500286,0,0.0,0.20199091022228838,-1.3738972905946605,True
4,대조,0,8.0,6.0,410.78000000000003,126.0,3.0,10.99,0.0,0.0,0,13.5,5.0,3.0,220.95000000000002,5.0,8.0,1,1,8.0,1.9459101490553132,6.020489226148598,0.02675398023272798,0,0.0,0.1675089143081202,-1.6033859443206755,True
6,대조,0,1.0,39.0,1107.86,445.0,1.0,1.77,0.0,0.0,0,0.0,0.0,0.0,528.9,21.0,1.0,0,1,1.0,3.6888794541139363,7.01108773952572,0.0015976747964544257,0,0.0,0.23595578994934377,-1.1749811972968676,True
7,대조,0,2.0,7.0,330.39,121.0,4.0,12.92,0.0,0.0,1,0.0,0.0,0.0,52.68,2.0,2.0,0,1,2.0,2.0794415416798357,5.8032959295221005,0.03910529979720936,0,0.0,0.16388040805096332,-1.6296347128111706,True
8,대조,0,5.0,16.0,655.79,12018.0,11.0,26.96,0.0,0.0,1,14.48,7.0,6.0,239.43,6.0,5.0,1,1,5.0,2.833213344056216,6.4873643326873545,0.04111072141996676,0,0.0,0.20970433588168966,-1.3267085195337054,True
13,대조,0,2.0,44.0,1990.46,277922.0,8.0,15.39,0.0,0.0,1,16.53,11.0,8.0,859.71,19.0,2.0,1,1,2.0,3.8066624897703196,7.596623317057193,0.00773188107271686,0,0.0,0.27055707062911133,-0.9917980743486217,True
14,대조,0,15.0,9.0,80.34,4529.0,2.0,3.67,0.0,0.0,0,0.0,0.0,0.0,42.629999999999995,4.0,15.0,0,1,15.0,2.302585092994046,4.398637900479079,0.04568085636046801,0,0.0,0.15254640913357792,-1.7147672057773415,True
16,대조,0,5.0,17.0,276.23,132.0,13.0,34.83,0.0,0.0,1,10.280000000000001,6.0,4.0,181.24,12.0,5.0,1,1,5.0,2.8903717578961645,5.624847486568059,0.12609057669333526,0,0.0,0.19400973767568225,-1.424163308941981,True
