household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
14,대조,0,15.0,9.0,80.34,4529.0,2.0,3.67,0.0,0.0,0,0.0,0.0,0.0,42.629999999999995,4.0,15.0,0,1,15.0,2.302585092994046,4.398637900479079,0.04568085636046801,0,0.0,0.15254640913357792,-1.7147672057773415,True,pair_403_14
16,대조,0,5.0,17.0,276.23,132.0,13.0,34.83,0.0,0.0,1,10.280000000000001,6.0,4.0,181.24,12.0,5.0,1,1,5.0,2.8903717578961645,5.624847486568059,0.12609057669333526,0,0.0,0.19400973767568225,-1.424163308941981,True,pair_954_16
17,처치,1,10.0,23.0,823.0699999999999,65728.0,1.0,1.19,0.0,0.0,1,2.58,2.0,2.0,433.82,13.0,10.0,1,1,10.0,3.1780538303479458,6.714255477757612,0.001445806553513067,0,0.0,0.23543385486271073,-1.1778785394741773,True,pair_17_771
18,대조,0,1.0,24.0,964.48,28975.0,15.0,34.63,0.0,0.0,1,28.47,15.0,10.0,251.39000000000001,6.0,1.0,1,1,1.0,3.2188758248682006,6.872625386998399,0.03590535832780359,0,0.0,0.2258147966195786,-1.2320959464923225,True,pair_988_18
19,대조,0,4.0,38.0,1084.41,64851.0,31.0,65.93,0.0,0.0,1,20.05,14.0,13.0,472.75,16.0,4.0,1,1,4.0,3.6635616461296463,6.989713074780156,0.06079803764258906,0,0.0,0.2540085358454913,-1.077346285841377,True,pair_1971_19
22,처치,1,2.0,13.0,770.11,56605.0,19.0,56.46,0.0,0.0,1,33.01,14.0,11.0,231.44,5.0,2.0,1,1,2.0,2.6390573296152584,6.647831035241403,0.07331420186726571,0,0.0,0.2042206850702045,-1.360120706163685,True,pair_22_1520
26,대조,0,20.0,22.0,280.83,170.0,14.0,49.02,0.0,0.0,0,4.49,2.0,2.0,59.65,2.0,20.0,1,1,20.0,3.1354942159291497,5.64130405227947,0.1745540006409572,0,0.0,0.2269235525527383,-1.2257647529178977,True,pair_1113_26
27,처치,1,24.0,16.0,120.21000000000001,49.0,1.0,2.0,0.0,0.0,1,8.55,5.0,5.0,189.52,8.0,24.0,1,1,24.0,2.833213344056216,4.79752457848242,0.016637550952499792,0,0.0,0.19750427275045448,-1.4019663124036876,True,pair_27_1203
29,대조,0,16.0,11.0,314.07,219.0,21.0,59.35,0.0,0.0,0,2.99,1.0,1.0,141.81,5.0,16.0,1,1,16.0,2.4849066497880004,5.752794836360154,0.18897061164708506,0,0.0,0.2011883484699416,-1.3788836613677249,True,pair_928_29
32,처치,1,3.0,20.0,527.19,82282.0,3.0,8.26,0.0,0.0,0,0.0,0.0,0.0,205.85,8.0,3.0,0,1,3.0,3.044522437723423,6.269456067461173,0.015667975492706612,0,0.0,0.19763934985988646,-1.4011142907856982,True,pair_32_1773
36,대조,0,3.0,37.0,819.19,8798.0,6.0,26.89,0.0,0.0,0,0.88,1.0,1.0,92.37,4.0,3.0,1,1,3.0,3.6375861597263857,6.709536020735378,0.032825107728365825,0,0.0,0.23150126568368934,-1.1998535751963966,True,pair_1256_36
37,대조,0,15.0,3.0,122.5,43.0,0.0,0.0,0.0,0.0,0,11.440000000000001,13.0,3.0,154.83,5.0,15.0,1,1,15.0,1.3862943611198906,4.816241156068032,0.0,0,0.0,0.1359200770469702,-1.8495982237249369,True,pair_2161_37
