household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
1,처치,1,12.0,10.0,531.96,257.0,76.0,185.17000000000002,0.0,1.0,1,95.51,46.0,42.0,429.01,7.0,12.0,1,1,12.0,2.3978952727983707,6.27844637444537,0.34809008196104974,0,1.0,0.6924727188958866,0.811705039840255,True
2,대조,0,67.0,2.0,110.07000000000001,37.0,7.0,19.02,0.0,0.0,0,35.86,7.0,5.0,72.78,3.0,67.0,1,1,67.0,1.0986122886681098,4.7101606331790284,0.17279912782774595,0,0.0,0.3248380710246697,-0.731625741716213,True
3,처치,1,5.0,5.0,271.48,181.0,43.0,146.25,0.0,0.0,0,55.76,19.0,17.0,121.54,4.0,5.0,1,1,5.0,1.791759469228055,5.607565216914378,0.5387137174009134,0,0.0,0.42256914430823656,-0.3122356162492125,True
4,처치,1,34.0,7.0,88.68,30.0,10.0,35.31,0.0,0.0,0,15.940000000000001,7.0,2.0,30.02,1.0,34.0,1,1,34.0,2.0794415416798357,4.496247778763904,0.39817320703653586,0,0.0,0.41831462649970697,-0.3296958618294266,True
8,처치,1,16.0,15.0,914.05,393.0,145.0,426.05,0.0,3.0,1,145.3,80.0,64.0,452.0,9.0,16.0,1,1,16.0,2.772588722239781,6.818978708591291,0.46611235709206283,0,3.0,0.8522370281170127,1.7522552415588837,True
13,처치,1,2.0,36.0,1653.09,278877.0,100.0,350.67,1.0,2.0,1,186.91,95.0,57.0,821.98,17.0,2.0,1,1,2.0,3.6109179126442243,7.4110062876462,0.21213001107017768,1,2.0,0.8826543207742275,2.0178095391838293,True
14,대조,0,1.0,40.0,745.39,53312.0,89.0,194.53,0.0,1.0,0,111.54,65.0,48.0,361.8,18.0,1.0,1,1,1.0,3.713572066704308,6.61524825180137,0.2609774748789224,0,1.0,0.799424762307591,1.3827029952200198,True
16,처치,1,1.0,23.0,320.93,9730.0,48.0,104.74,0.0,1.0,1,16.38,7.0,7.0,97.49,8.0,1.0,1,1,1.0,3.1780538303479458,5.774334130607146,0.32636400461159754,0,1.0,0.7509199844880979,1.1035249085179284,True
17,처치,1,7.0,17.0,609.6,46054.0,50.0,184.28,0.0,2.0,1,179.56,69.0,33.0,368.9,7.0,7.0,1,1,7.0,2.8903717578961645,6.414442080300778,0.30229658792650915,0,2.0,0.8032343775559885,1.4066332621073976,True
18,처치,1,4.0,21.0,829.02,15889.0,85.0,213.42000000000002,0.0,0.0,1,221.1,107.0,77.0,801.62,14.0,4.0,1,1,4.0,3.091042453358316,6.721449796885873,0.2574364912788594,0,0.0,0.7386099569895943,1.038756273767091,True
