household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support
2,대조,0,2.0,4.0,113.58,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,281.47,4.0,2.0,0,1,2.0,1.6094379124341003,4.741273268980431,0.0,0,0.0,0.004838639284098966,-5.326271354031568,True
3,대조,0,15.0,7.0,214.86,135.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,114.56,3.0,15.0,0,1,15.0,2.0794415416798357,5.3746300493972,0.0,0,1.0,0.015677013036847234,-4.139758580300644,True
4,대조,0,42.0,2.0,39.99,16.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,14.48,1.0,42.0,0,1,42.0,1.0986122886681098,3.7133281345162463,0.0,0,1.0,0.006829903444893203,-4.979591408429142,True
6,대조,0,1.0,41.0,820.04,357.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,350.6,12.0,1.0,0,1,1.0,3.7376696182833684,6.710571829337459,0.0,0,2.0,0.057660442674073366,-2.793794304379954,True
14,대조,0,9.0,37.0,694.26,55294.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,56.620000000000005,4.0,9.0,0,1,9.0,3.6375861597263857,6.54428587632599,0.0,0,1.0,0.041370577125932576,-3.142934649118249,True
16,대조,0,23.0,21.0,282.59,18670.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,23.0,0,0,23.0,3.091042453358316,5.647529533105403,0.0,0,2.0,0.034485187988247824,-3.332131544863768,True
17,대조,0,8.0,16.0,634.07,47998.0,1.0,2.99,0.0,3.0,1,0.0,0.0,0.0,165.2,3.0,8.0,0,1,8.0,2.833213344056216,6.453735229037599,0.004715567681801694,0,3.0,0.06748450849380107,-2.6259876965123405,True
18,대조,0,4.0,26.0,1188.8700000000001,26540.0,0.0,0.0,2.0,1.0,1,0.0,0.0,0.0,265.31,8.0,4.0,0,1,4.0,3.295836866004329,7.0815993364405685,0.0,1,1.0,0.06993148156377568,-2.5877423312967274,True
23,대조,0,2.0,14.0,249.25,82.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,83.57,3.0,2.0,0,1,2.0,2.70805020110221,5.52246041819533,0.0,0,1.0,0.01483679609762534,-4.19569699864431,True
25,대조,0,10.0,14.0,542.1,14190.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,76.63,4.0,10.0,0,1,10.0,2.70805020110221,6.2972934650407995,0.0,0,2.0,0.040066343372804215,-3.1763275098917854,True
26,대조,0,2.0,7.0,73.47,46.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,276.31,7.0,2.0,0,1,2.0,2.0794415416798357,4.310396359722554,0.0,0,0.0,0.0037893114261244665,-5.571774449100162,True
27,대조,0,1.0,69.0,925.69,472.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,418.97,26.0,1.0,0,1,1.0,4.248495242049359,6.831619097555681,0.0,0,4.0,0.12239517303206449,-1.9699414758491915,True
