household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c,p_score,logit_p,in_support,pair_id
43,처치,1,2.0,17.0,87.56,5976.0,2.0,1.68,0.0,2.0,1,0.0,0.0,0.0,40.41,8.0,2.0,0,1,2.0,2.8903717578961645,4.4836802884003815,0.01918684330744632,0,2.0,0.013003749509423328,-4.329428500854024,True,pair_43_116
77,처치,1,13.0,11.0,490.94,273.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,300.96,4.0,13.0,0,1,13.0,2.4849066497880004,6.198356757836141,0.0,0,0.0,0.018506983277879998,-3.9709267634488974,True,pair_77_2065
86,대조,0,3.0,6.0,630.53,235.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,284.38,4.0,3.0,0,1,3.0,1.9459101490553132,6.448145446600416,0.0,0,1.0,0.02405919618382069,-3.702884631576323,True,pair_2466_86
108,처치,1,12.0,4.0,218.28,112.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,69.62,4.0,12.0,0,1,12.0,1.6094379124341003,5.39034945199453,0.0,0,2.0,0.02000872966523295,-3.8913750022187465,True,pair_108_2100
116,대조,0,9.0,10.0,110.92,53.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,35.21,4.0,9.0,0,1,9.0,2.3978952727983707,4.717784330357226,0.0,0,2.0,0.01303078829027094,-4.327323957728185,True,pair_43_116
125,대조,0,3.0,51.0,1595.53,175112.0,1.0,4.25,2.0,4.0,0,0.0,0.0,0.0,350.51,11.0,3.0,0,1,3.0,3.9512437185814275,7.375587803083829,0.0026636916886551803,1,4.0,0.26431688395251657,-1.0236507758250208,True,pair_2226_125
134,대조,0,5.0,13.0,589.03,240.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,138.55,3.0,5.0,0,1,5.0,2.6390573296152584,6.3801733830647045,0.0,0,3.0,0.05443337264666385,-2.8548069199299744,True,pair_381_134
183,대조,0,2.0,20.0,227.87,90.0,6.0,43.33,0.0,2.0,0,40.47,3.0,3.0,134.13,9.0,2.0,1,1,2.0,3.044522437723423,5.4331541567702475,0.1901522798086628,0,2.0,0.3661911112726924,-0.5485921125877266,True,pair_1710_183
218,대조,0,7.0,32.0,1471.09,191512.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,391.19,7.0,7.0,0,1,7.0,3.4965075614664802,7.294438438724116,0.0,0,1.0,0.06048794081870176,-2.7429166346567895,True,pair_2066_218
256,대조,0,4.0,11.0,1232.93,411.0,3.0,11.83,2.0,4.0,1,4.25,1.0,1.0,578.98,5.0,4.0,1,1,4.0,2.4849066497880004,7.117959476762344,0.0095950297259374,1,4.0,0.19711373903879556,-1.4044321436166047,True,pair_574_256
